"order_purchase_date","orders_count","customers_making_orders_count","revenue_usd","average_revenue_per_order_usd","top_3_product_categories_by_revenue","top_3_product_categories_revenue_percentage"
2017-01-11,12,6.00,137.4000015258789,11.45,"bebes, moveis_decoracao","87.26, 12.74"
2017-01-10,6,3.00,556.0,92.67,"ferramentas_jardim, cool_stuff","68.35, 31.65"
2017-01-09,5,1.00,238.9000015258789,47.78,"esporte_lazer, beleza_saude","54.00, 46.00"
2017-01-08,6,2.00,250.88999366760254,41.81,"ferramentas_jardim, telefonia_fixa","95.62, 4.38"
2017-01-07,4,2.00,798.0,199.50,cool_stuff,"100.00"
2017-01-06,4,0.00,120.39000129699707,30.10,"consoles_games, telefonia_fixa","91.29, 8.71"
2017-01-05,32,10.00,181.899995803833,5.68,"ferramentas_jardim, fashion_bolsas_e_acessorios","35.73, 23.97"
2016-12-23,1,0.00,10.899999618530273,10.90,fashion_bolsas_e_acessorios,"100.00"
2016-10-22,1,1.00,,,,
2016-10-10,39,14.00,1662.6099872589111,42.63,"moveis_decoracao, beleza_saude","54.89, 16.28"
2016-10-09,26,17.00,242.09000778198242,9.31,"moveis_decoracao, perfumaria","36.06, 24.74"
2016-10-08,42,10.00,4460.72996711731,106.21,"relogios_presentes, moveis_decoracao","45.92, 14.97"
2016-10-07,46,17.00,2050.089994430542,44.57,"ferramentas_jardim, perfumaria","28.78, 16.58"
2016-10-06,51,16.00,3286.509983062744,64.44,"esporte_lazer, beleza_saude","42.87, 9.34"
2016-10-05,47,20.00,4906.370044708252,104.39,"eletronicos, brinquedos","24.44, 18.12"
2016-10-04,63,19.00,3363.760000228882,53.39,"beleza_saude, moveis_decoracao","25.23, 16.01"
2016-10-03,8,3.00,412.0799980163574,51.51,"moveis_decoracao, brinquedos","47.27, 31.28"
2016-10-02,1,1.00,,,,
2016-09-15,1,0.00,134.9700050354004,134.97,beleza_saude,"100.00"
2016-09-13,1,0.00,,,,
2016-09-05,1,0.00,59.5,59.50,telefonia,"100.00"
2016-09-04,1,0.00,,,,
